;Unnamed: 0;school;school_setting;school_type;classroom;teaching_method;n_student;gender;lunch;posttest;target
39;39;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;72.0;0.0
40;40;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;66.0;0.0
41;41;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;75.0;1.0
42;42;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;78.0;1.0
43;43;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Female;Qualifies for reduced/free lunch;82.0;1.0
44;44;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;77.0;1.0
45;45;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;87.0;1.0
46;46;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;80.0;1.0
47;47;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Female;Qualifies for reduced/free lunch;75.0;0.0
48;48;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;73.0;1.0
49;49;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;74.0;1.0
50;50;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;74.0;1.0
51;51;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;76.0;0.0
52;52;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Female;Does not qualify;78.0;1.0
53;53;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;77.0;0.0
54;54;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;77.0;1.0
55;55;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Qualifies for reduced/free lunch;72.0;1.0
56;56;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;83.0;1.0
57;57;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;81.0;0.0
58;58;CCAAW;Suburban;Non-public;2B1;Experimental;18.0;Male;Does not qualify;79.0;1.0
59;59;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;80.0;0.0
60;60;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;83.0;1.0
61;61;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;82.0;1.0
62;62;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;84.0;0.0
63;63;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;83.0;0.0
64;64;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;85.0;1.0
65;65;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;87.0;1.0
66;66;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;91.0;1.0
67;67;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;85.0;0.0
68;68;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;83.0;0.0
69;69;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;78.0;0.0
70;70;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;84.0;0.0
71;71;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;86.0;1.0
72;72;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;87.0;0.0
73;73;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;79.0;1.0
74;74;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;84.0;1.0
75;75;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Does not qualify;82.0;0.0
76;76;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;83.0;0.0
77;77;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Male;Qualifies for reduced/free lunch;78.0;0.0
78;78;CCAAW;Suburban;Non-public;EPS;Experimental;20.0;Female;Qualifies for reduced/free lunch;84.0;1.0
79;79;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Does not qualify;79.0;1.0
80;80;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Does not qualify;83.0;1.0
81;81;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Qualifies for reduced/free lunch;81.0;0.0
82;82;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Qualifies for reduced/free lunch;74.0;1.0
83;83;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Qualifies for reduced/free lunch;77.0;1.0
84;84;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Does not qualify;82.0;0.0
85;85;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Does not qualify;81.0;1.0
86;86;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Qualifies for reduced/free lunch;75.0;0.0
87;87;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Qualifies for reduced/free lunch;81.0;0.0
88;88;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Qualifies for reduced/free lunch;77.0;1.0
89;89;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Qualifies for reduced/free lunch;74.0;1.0
90;90;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Does not qualify;80.0;0.0
91;91;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Does not qualify;76.0;0.0
92;92;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Female;Does not qualify;77.0;0.0
93;93;CCAAW;Suburban;Non-public;IQN;Experimental;15.0;Male;Qualifies for reduced/free lunch;74.0;0.0
94;94;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Female;Qualifies for reduced/free lunch;76.0;1.0
95;95;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Male;Qualifies for reduced/free lunch;82.0;0.0
96;96;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Female;Qualifies for reduced/free lunch;73.0;1.0
97;97;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Female;Qualifies for reduced/free lunch;78.0;0.0
98;98;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Male;Does not qualify;83.0;0.0
99;99;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Female;Does not qualify;84.0;0.0
100;100;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Female;Qualifies for reduced/free lunch;78.0;0.0
101;101;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Male;Qualifies for reduced/free lunch;81.0;0.0
102;102;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Male;Qualifies for reduced/free lunch;80.0;1.0
103;103;CCAAW;Suburban;Non-public;PGK;Standard;21.0;Female;Does not qualify;80.0;0.0
104;104;CCAAW;Suburban;Non-public;PGK;Standard;;Female;Qualifies for reduced/free lunch;82.0;1.0
105;105;CCAAW;Suburban;Non-public;PGK;Standard;;Female;Does not qualify;84.0;1.0
106;106;CCAAW;Suburban;Non-public;PGK;Standard;;Female;Does not qualify;80.0;1.0
107;107;CCAAW;Suburban;Non-public;PGK;Standard;;Male;Does not qualify;91.0;0.0
108;108;CCAAW;Suburban;Non-public;PGK;Standard;;Male;Does not qualify;80.0;0.0
109;109;CCAAW;Suburban;Non-public;PGK;Standard;;Female;Does not qualify;80.0;0.0
110;110;CCAAW;Suburban;Non-public;PGK;Standard;;Female;Does not qualify;84.0;1.0
111;111;CCAAW;Suburban;Non-public;PGK;Standard;;Male;Does not qualify;78.0;1.0
112;112;CCAAW;Suburban;Non-public;PGK;Standard;;Male;Does not qualify;85.0;1.0
113;113;CCAAW;Suburban;Non-public;PGK;Standard;;Male;Does not qualify;83.0;0.0
114;114;CCAAW;Suburban;Non-public;PGK;Standard;;Male;Does not qualify;83.0;0.0
115;115;CCAAW;Suburban;Non-public;UHU;Experimental;;Male;Qualifies for reduced/free lunch;68.0;0.0
116;116;CCAAW;Suburban;Non-public;UHU;Experimental;;Male;Does not qualify;70.0;1.0
117;117;CCAAW;Suburban;Non-public;UHU;Experimental;;Male;Qualifies for reduced/free lunch;73.0;1.0
118;118;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Qualifies for reduced/free lunch;73.0;0.0
119;119;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;70.0;0.0
120;120;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Qualifies for reduced/free lunch;69.0;0.0
121;121;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;71.0;1.0
122;122;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;74.0;1.0
123;123;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Qualifies for reduced/free lunch;69.0;1.0
124;124;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Qualifies for reduced/free lunch;70.0;1.0
125;125;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;76.0;0.0
126;126;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;75.0;1.0
127;127;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Qualifies for reduced/free lunch;69.0;0.0
128;128;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;67.0;1.0
129;129;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Qualifies for reduced/free lunch;69.0;1.0
130;130;CCAAW;Suburban;Non-public;UHU;Experimental;16.0;Male;Does not qualify;72.0;1.0
131;131;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;76.0;0.0
132;132;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;80.0;0.0
133;133;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;76.0;0.0
134;134;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;82.0;1.0
135;135;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;72.0;0.0
136;136;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;70.0;1.0
137;137;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;75.0;1.0
138;138;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;77.0;0.0
139;139;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;76.0;0.0
140;140;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Does not qualify;83.0;0.0
141;141;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;75.0;1.0
142;142;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;72.0;1.0
143;143;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;77.0;0.0
144;144;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;77.0;1.0
145;145;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;69.0;1.0
146;146;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;74.0;0.0
147;147;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;79.0;1.0
148;148;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;74.0;0.0
149;149;CCAAW;Suburban;Non-public;UWK;Standard;19.0;Male;Qualifies for reduced/free lunch;73.0;0.0
150;150;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;67.0;1.0
151;151;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;70.0;0.0
152;152;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;73.0;1.0
153;153;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;72.0;0.0
154;154;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;68.0;1.0
155;155;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;66.0;1.0
156;156;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;66.0;0.0
157;157;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;69.0;1.0
158;158;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;78.0;1.0
159;159;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;69.0;1.0
160;160;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;71.0;1.0
161;161;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;71.0;1.0
162;162;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;70.0;1.0
163;163;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;81.0;0.0
164;164;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;72.0;1.0
165;165;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Qualifies for reduced/free lunch;69.0;0.0
166;166;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;65.0;0.0
167;167;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;64.0;0.0
168;168;CIMBB;Urban;Non-public;A33;Standard;19.0;Male;Does not qualify;71.0;1.0
169;169;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;76.0;1.0
170;170;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;79.0;1.0
171;171;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;78.0;0.0
172;172;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;72.0;1.0
173;173;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;74.0;0.0
174;174;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;79.0;0.0
175;175;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;78.0;1.0
176;176;CIMBB;Urban;Non-public;EID;Standard;;Male;Does not qualify;76.0;1.0
177;177;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;77.0;0.0
178;178;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;75.0;1.0
179;179;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;78.0;1.0
180;180;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;82.0;1.0
181;181;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;78.0;1.0
182;182;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;80.0;0.0
183;183;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;79.0;1.0
184;184;CIMBB;Urban;Non-public;EID;Standard;21.0;Male;Does not qualify;80.0;0.0
185;185;CIMBB;Urban;Non-public;EID;Standard;;Male;Does not qualify;81.0;0.0
186;186;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;78.0;0.0
187;187;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;82.0;1.0
188;188;CIMBB;Urban;Non-public;EID;Standard;21.0;Female;Does not qualify;82.0;1.0
189;189;CIMBB;Urban;Non-public;EID;Standard;;Female;Does not qualify;76.0;0.0
190;190;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;88.0;1.0
191;191;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;80.0;1.0
192;192;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;81.0;0.0
193;193;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Female;Does not qualify;83.0;0.0
194;194;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;78.0;1.0
195;195;CIMBB;Urban;Non-public;HUJ;Experimental;;Male;Does not qualify;87.0;1.0
196;196;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Female;Does not qualify;82.0;0.0
197;197;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Female;Does not qualify;82.0;0.0
198;198;CIMBB;Urban;Non-public;HUJ;Experimental;;Female;Does not qualify;84.0;1.0
199;199;CIMBB;Urban;Non-public;HUJ;Experimental;;Female;Does not qualify;85.0;0.0
200;200;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;82.0;0.0
201;201;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Female;Does not qualify;83.0;1.0
202;202;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;82.0;1.0
203;203;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;87.0;0.0
204;204;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Female;Does not qualify;85.0;0.0
205;205;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;78.0;1.0
206;206;CIMBB;Urban;Non-public;HUJ;Experimental;17.0;Male;Does not qualify;77.0;0.0
207;207;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;78.0;0.0
208;208;CIMBB;Urban;Non-public;PC6;Standard;17.0;Female;Does not qualify;79.0;1.0
209;209;CIMBB;Urban;Non-public;PC6;Standard;17.0;Female;Does not qualify;72.0;0.0
210;210;CIMBB;Urban;Non-public;PC6;Standard;17.0;Female;Does not qualify;80.0;0.0
211;211;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;75.0;1.0
212;212;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;75.0;1.0
213;213;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;77.0;0.0
214;214;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;79.0;0.0
215;215;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;75.0;0.0
216;216;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;80.0;0.0
217;217;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;86.0;0.0
218;218;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;76.0;1.0
219;219;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;78.0;1.0
220;220;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;75.0;1.0
221;221;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;80.0;0.0
222;222;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;79.0;0.0
223;223;CIMBB;Urban;Non-public;PC6;Standard;17.0;Male;Does not qualify;74.0;0.0
224;224;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;70.0;0.0
225;225;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Qualifies for reduced/free lunch;67.0;0.0
226;226;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;70.0;0.0
227;227;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;67.0;1.0
228;228;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;69.0;1.0
229;229;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;63.0;0.0
230;230;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;67.0;1.0
231;231;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;68.0;0.0
232;232;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;68.0;0.0
233;233;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;70.0;1.0
234;234;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;65.0;1.0
235;235;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;67.0;1.0
236;236;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;67.0;0.0
237;237;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Does not qualify;65.0;1.0
238;238;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Qualifies for reduced/free lunch;65.0;1.0
239;239;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;74.0;1.0
240;240;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Does not qualify;69.0;0.0
241;241;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;61.0;1.0
242;242;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Does not qualify;69.0;1.0
243;243;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;74.0;1.0
244;244;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Does not qualify;68.0;0.0
245;245;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Qualifies for reduced/free lunch;68.0;0.0
246;246;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Does not qualify;63.0;1.0
247;247;CUQAM;Urban;Public;1Q1;Standard;28.0;Female;Does not qualify;70.0;1.0
248;248;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;71.0;0.0
249;249;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;62.0;1.0
250;250;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Qualifies for reduced/free lunch;62.0;0.0
251;251;CUQAM;Urban;Public;1Q1;Standard;28.0;Male;Does not qualify;58.0;1.0
252;252;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;57.0;0.0
253;253;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;63.0;1.0
254;254;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;57.0;0.0
255;255;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;59.0;0.0
256;256;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;57.0;0.0
257;257;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;64.0;0.0
258;258;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Qualifies for reduced/free lunch;58.0;0.0
259;259;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;64.0;1.0
260;260;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;56.0;1.0
261;261;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;61.0;0.0
262;262;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;61.0;0.0
263;263;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;64.0;1.0
264;264;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;60.0;0.0
265;265;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;61.0;0.0
266;266;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;63.0;0.0
267;267;CUQAM;Urban;Public;BFY;Standard;27.0;Female;Does not qualify;66.0;0.0
268;268;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Does not qualify;62.0;0.0
269;269;CUQAM;Urban;Public;BFY;Standard;;Male;Does not qualify;59.0;1.0
270;270;CUQAM;Urban;Public;BFY;Standard;27.0;Male;Qualifies for reduced/free lunch;59.0;0.0
271;271;CUQAM;Urban;Public;BFY;Standard;;Male;Does not qualify;62.0;1.0
